nationality,image,name,club,position,height,foot,age
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/CA.svg,85954.png,Alphonso Davies,Bayern München,Defender Left,181,Left,23
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,85388.png,Theo Hernández,AC Milan,Defender Left Centre,184,Left,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,56409.png,Luke Shaw,Manchester United,Defender Left Centre,185,Left,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,46587.png,Daniel Carvajal,Real Madrid,Defender Right,173,Right,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,45675.png,Kieran Trippier,Newcastle United,Defender Right Left,177,Right,33
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,37853.png,Kyle Walker,Manchester City,Defender Right Centre,178,Right,33
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,99086.png,William Saliba,Arsenal,Defender Centre,193,Right,23
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,95157.png,Jules Koundé,Barcelona,Defender Right Centre,178,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,46587.png,Daniel Carvajal,Real Madrid,Defender Right,173,Right,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,45675.png,Kieran Trippier,Newcastle United,Defender Right Left,177,Right,33
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,37853.png,Kyle Walker,Manchester City,Defender Right Centre,178,Right,33
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,99086.png,William Saliba,Arsenal,Defender Centre,193,Right,23
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,95157.png,Jules Koundé,Barcelona,Defender Right Centre,178,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/KO.svg,90167.png,Min-Jae Kim,Bayern München,Defender Centre,190,Right,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,88949.png,Alessandro Bastoni,Internazionale,Defender Centre,190,Left,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/NE.svg,87683.png,Matthijs de Ligt,Bayern München,Defender Centre,189,Right,24
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,82312.png,Dayot Upamecano,Bayern München,Defender Centre,186,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,20376.png,Mats Hummels,Borussia Dortmund,Defender Centre,191,Right,35
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,74306.png,Lucas Hernández,Paris Saint-Germain,Defender Left Centre,184,Left,28
